window_index,start_date,end_date,start_month,start_iso_week,n_days,n_fills,start_equity,end_equity,return_pct,max_drawdown_pct,short_monthly_drawdown_pct,turnover_annualized,total_fees,fee_ratio_pct_of_initial,passed,violations
0,2026-03-09,2026-03-24,2026-03,2026-W11,12,2,99998.49372248077,100039.24369196319,0.04075058329928716,-0.0747446898733406,-101.02153842838251,0.9036303088257813,1.5062775192260744,0.0015062775192260743,False,monthly_short_dd -1.010215 < floor -0.250000
1,2026-03-23,2026-04-08,2026-03,2026-W13,12,1,99999.21046297607,99930.47041170654,-0.0687405940019703,-0.21319306506649705,-282.3466436792054,0.47351199678873224,0.7895370239257813,0.0007895370239257813,False,monthly_short_dd -2.823466 < floor -0.250000
2,2026-04-07,2026-04-22,2026-04,2026-W15,12,7,99999.19684098205,100406.33121688459,0.4071376458652409,-0.12873666843360443,-22.871763181861095,2.756995054790494,5.358648227691651,0.005358648227691651,True,
3,2026-04-21,2026-05-06,2026-04,2026-W17,12,5,99996.25833658905,100295.77155070037,0.29952442130700696,-0.09229516418596262,-79.40074491405197,2.2426395191155164,3.741663410949707,0.003741663410949707,False,monthly_short_dd -0.794007 < floor -0.250000
